frame,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0.0,0.03,1,39.7,34.2,556.7,0.21,-0.033,-0.012,0.09903300000000001,0.324096,-0.940826,-0.13962,0.12433399999999999,-0.982368,-0.021,0.22899999999999998,0.65,0.34,1.39,0.41,1.89,1.42,0.0,1.17,1.76,2.47,0.07,2.57,1.55,3.73,0.0,0.41,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,0.033,0.88,1,41.3,34.1,567.5,0.248,-0.001,-0.017,0.033935,0.324364,-0.9453239999999999,-0.206473,0.17943599999999998,-0.961859,-0.09,0.258,0.71,0.11,1.72,0.52,1.89,0.73,0.05,1.28,1.92,2.49,0.02,2.14,0.96,4.07,0.0,0.63,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,0.067,0.88,1,41.9,33.6,570.6,0.285,0.019,-0.027000000000000003,0.051912,0.345202,-0.937092,-0.172382,0.172228,-0.969857,-0.063,0.265,0.86,0.0,1.86,0.61,1.69,0.25,0.06,1.18,1.85,2.46,0.0,1.66,0.45,4.16,0.0,0.58,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.1,0.88,1,43.2,33.5,579.0,0.322,0.037000000000000005,-0.042,0.028054000000000003,0.343673,-0.9386700000000001,-0.219877,0.168717,-0.9608270000000001,-0.10099999999999999,0.263,1.05,0.0,1.82,0.84,1.35,0.06,0.06,0.99,1.5,2.52,0.0,1.2,0.04,3.97,0.0,0.27,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0.133,0.88,1,43.4,32.3,576.4,0.313,0.047,-0.046,0.021196,0.34019699999999997,-0.9401149999999999,-0.23371999999999998,0.198242,-0.95188,-0.11199999999999999,0.27699999999999997,1.14,0.0,1.77,0.88,1.02,0.0,0.02,0.69,1.1,2.42,0.0,1.03,0.0,3.8,0.0,0.09,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0.16699999999999998,0.88,1,43.6,31.7,574.4,0.316,0.051,-0.039,0.058455999999999994,0.359101,-0.931466,-0.23555,0.171531,-0.9566049999999999,-0.094,0.27399999999999997,1.27,0.0,2.1,0.89,0.94,0.1,0.09,0.46,0.85,2.46,0.0,1.01,0.0,3.62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0.2,0.88,1,43.2,31.6,582.3,0.34299999999999997,0.047,-0.025,0.086901,0.378538,-0.9214969999999999,-0.039529,0.148553,-0.9881139999999999,0.025,0.26899999999999996,1.31,0.3,2.27,0.74,1.11,0.42,0.31,0.38,0.91,2.37,0.0,0.97,0.0,3.45,0.0,0.0,0.05,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.233,0.88,1,42.7,31.8,591.5,0.349,0.043,-0.018000000000000002,0.176715,0.426543,-0.887036,-0.143762,0.305448,-0.9412940000000001,0.018000000000000002,0.381,1.43,0.41,2.7,0.6,1.38,1.17,0.54,0.36,0.94,2.29,0.0,0.95,0.0,3.33,0.0,0.0,0.05,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0.267,0.88,1,42.2,29.6,596.4,0.368,0.062,-0.01,0.023814,0.42903900000000006,-0.9029719999999999,-0.082234,0.39255,-0.916047,-0.032,0.424,1.23,0.41,2.76,0.5,1.47,1.64,0.55,0.51,0.96,2.11,0.0,0.92,0.0,3.37,0.0,0.0,0.05,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0.3,0.93,1,42.2,27.3,598.6,0.397,0.076,-0.004,-0.082835,0.345618,-0.9347120000000001,-0.127066,0.258423,-0.9576389999999999,-0.11,0.309,1.08,0.31,2.96,0.48,1.41,1.93,0.43,0.62,0.84,2.11,0.0,0.89,0.0,3.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
